,Date,Duration,Distance,Steps,Calories
161,21-10-14,572,0.39,641,24
162,21-11-14,2096,1.948,2734,116
163,21-12-14,120,0.07,132,4
164,22-05-14,2535,2.48,3989,148
165,22-06-14,2027,2.281,2442,137
166,22-07-14,4584,4.208,5486,252
167,22-08-14,6339,7.065,9773,423
168,22-09-14,3925,4.211,5865,254
169,22-10-14,2500,2.435,3571,147
170,22-11-14,2536,2.247,3399,135
171,22-12-14,2547,2.75,3987,165
172,23-05-14,1020,0.728,1063,45
173,23-06-14,2506,2.291,3273,140
174,23-07-14,1200,1.163,1757,69
175,23-08-14,1444,1.37,2108,83
176,23-09-14,2224,2.203,3025,133
177,23-10-14,2229,2.18,3572,129
178,23-11-14,1718,1.357,1950,83
179,23-12-14,330,0.327,518,19
180,24-05-14,3622,3.379,5143,203
181,24-06-14,2464,2.229,3277,135
182,24-07-14,5617,5.259,7392,313
183,24-08-14,1049,1.007,1489,61
184,24-09-14,1524,1.555,2337,95
185,24-10-14,1771,1.632,2513,96
186,24-11-14,331,0.267,447,16
187,24-12-14,792,0.774,1164,46
188,25-04-14,1547,1.584,2005,96
189,25-05-14,4732,4.949,7210,298
190,25-06-14,5225,5.664,8673,342
191,25-07-14,5795,6.548,9416,393
192,25-08-14,3666,4.212,5875,252
193,25-09-14,7556,7.519,11191,453
194,25-10-14,1485,1.36,2097,83
195,25-11-14,1726,1.906,2302,114
196,25-12-14,136,0.097,184,6
197,26-04-14,2156,1.88,3067,112
198,26-05-14,3726,4.018,5844,240
199,26-06-14,9614,10.648,14858,640
200,26-07-14,10318,11.075,15087,667
201,26-08-14,4079,4.694,5921,281
202,26-09-14,3231,4.114,5501,248
203,26-10-14,2690,2.733,4235,164
204,26-11-14,1260,1.136,1887,70
205,26-12-14,740,0.649,1000,40
206,27-04-14,911,0.592,1009,36
207,27-05-14,6387,6.857,8738,413
208,27-06-14,12103,13.949,18812,839
209,27-07-14,7270,7.196,9038,430
210,27-08-14,1499,1.802,2618,108
211,27-09-14,2394,2.191,3286,132
212,27-10-14,2244,2.165,3328,128
213,27-11-14,570,0.41,811,26
214,27-12-14,630,0.52,882,33
215,28-04-14,2958,2.564,3643,154
216,28-05-14,2226,2.237,3063,135
217,28-06-14,3564,3.676,5213,220
218,28-07-14,816,0.731,1136,43
219,28-08-14,1685,1.37,2514,84
220,28-09-14,1162,1.507,1600,91
221,28-10-14,1641,1.672,2488,100
222,28-11-14,1217,1.246,2089,74
223,28-12-14,854,0.665,1330,40
224,29-04-14,8519,8.2,10774,491
225,29-05-14,3563,3.899,5711,234
226,29-06-14,8327,8.543,12887,514
227,29-07-14,4654,4.632,6415,278
228,29-08-14,5387,5.755,8511,346
229,29-09-14,2219,2.294,2781,139
230,29-10-14,2228,2.4,3419,144
231,29-11-14,6182,5.997,7542,363
232,29-12-14,2996,3.213,4346,194
233,30-04-14,10418,10.281,13761,617
234,30-05-14,2473,2.106,3239,126
235,30-06-14,2950,3.482,4347,209
236,30-07-14,2663,2.118,2992,129
237,30-08-14,6871,7.384,11368,443
238,30-09-14,1535,1.167,2245,71
239,30-10-14,2818,2.733,3810,167
240,30-11-14,2831,3.106,4382,187
241,30-12-14,2360,2.539,3611,153
242,31-05-14,1843,1.607,2510,97
243,31-07-14,4973,5.139,7603,312
244,31-08-14,3080,3.104,4228,187
245,31-10-14,1623,1.827,2546,110
246,31-12-14,1924,1.922,2654,117
